"name";"gender";"birthDate";"birthCity";"birthCountry";"birthContinent";"awardYear";"category";"awardDate";"motivation";"prizeAmount";"prizeAmountAdjusted"
"José Echegaray";"male";"1832-04-19";"Madrid";"Spain";"Europe";"1904";"The Nobel Prize in Literature";NA;"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama";140859;7908819
"José Ramos-Horta";"male";"1949-12-26";"Dili";"East Timor";"Oceania";"1996";"The Nobel Peace Prize";"1996-10-11";"for their work towards a just and peaceful solution to the conflict in East Timor";7400000;9662517
"José Saramago";"male";"1922-11-16";"Azinhaga";"Portugal";"Europe";"1998";"The Nobel Prize in Literature";NA;"who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality";7600000;9889843
"Joseph Brodsky";"male";"1940-05-24";"Leningrad";"USSR";"Europe";"1987";"The Nobel Prize in Literature";NA;"for an all-embracing authorship, imbued with clarity of thought and poetic intensity";2175000;4352280
"Joseph E. Murray";"male";"1919-04-01";"Milford, MA";"USA";"North America";"1990";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning organ and cell transplantation in the treatment of human disease";4000000;6443882
"Joseph E. Stiglitz";"male";"1943-02-09";"Gary, IN";"USA";"North America";"2001";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2001-10-10";"for their analyses of markets with asymmetric information";10000000;12518033
"Joseph Erlanger";"male";"1874-01-05";"San Francisco, CA";"USA";"North America";"1944";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries relating to the highly differentiated functions of single nerve fibres";121841;2555983
"Joseph H. Taylor Jr.";"male";"1941-03-29";"Philadelphia, PA";"USA";"North America";"1993";"The Nobel Prize in Physics";"1993-10-13";"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation";6700000;9208279
"Joseph L. Goldstein";"male";"1940-04-18";"Sumter, SC";"USA";"North America";"1985";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the regulation of cholesterol metabolism";1800000;3913667
"Joseph Rotblat";"male";"1908-11-04";"Warsaw";"Russian Empire";"Europe";"1995";"The Nobel Peace Prize";"1995-10-13";"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms";7200000;9446598
"Joshua D. Angrist";"male";"1960-00-00";"Columbus, OH";"USA";"North America";"2021";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2021-10-11";"for their methodological contributions to the analysis of causal relationships";10000000;10000000
"Joshua Lederberg";"male";"1925-05-23";"Montclair, NJ";"USA";"North America";"1958";"The Nobel Prize in Physiology or Medicine";NA;"for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria";214559;2694692
"Juan Manuel Santos";"male";"1951-08-10";"Bogotá";"Colombia";"South America";"2016";"The Nobel Peace Prize";"2016-10-07";"for his resolute efforts to bring the country's more than 50-year-long civil war to an end";8000000;8451577
"Juan Ramón Jiménez";"male";"1881-12-24";"Moguer";"Spain";"Europe";"1956";"The Nobel Prize in Literature";NA;"for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity";200123;2748452
"Jules A. Hoffmann";"male";"1941-08-02";"Echternach";"Luxembourg";"Europe";"2011";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the activation of innate immunity";10000000;10736783
"Jules Bordet";"male";"1870-06-13";"Soignies";"Belgium";"Europe";"1919";"The Nobel Prize in Physiology or Medicine";NA;"for his discoveries relating to immunity";133127;2420376
"Julian Schwinger";"male";"1918-02-12";"New York, NY";"USA";"North America";"1965";"The Nobel Prize in Physics";NA;"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles";282000;2833358
"Julius Axelrod";"male";"1912-05-30";"New York, NY";"USA";"North America";"1970";"The Nobel Prize in Physiology or Medicine";"1970-10-15";"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation";400000;3235593
"Julius Wagner-Jauregg";"male";"1857-03-07";"Wels";"Austria";"Europe";"1927";"The Nobel Prize in Physiology or Medicine";NA;"for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica";126501;3658946
"K. Alex Müller";"male";"1927-04-20";"Basel";"Switzerland";"Europe";"1987";"The Nobel Prize in Physics";"1987-10-14";"for their important break-through in the discovery of superconductivity in ceramic materials";2175000;4352280
"Kai M. Siegbahn";"male";"1918-04-20";"Lund";"Sweden";"Europe";"1981";"The Nobel Prize in Physics";"1981-10-19";"for his contribution to the development of high-resolution electron spectroscopy";1000000;2982813
"Kailash Satyarthi";"male";"1954-01-11";"Vidisha";"India";"Asia";"2014";"The Nobel Peace Prize";"2014-10-10";"for their struggle against the suppression of children and young people and for the right of all children to education";8000000;8531844
"Karl Gjellerup";"male";"1857-06-02";"Roholte";"Denmark";"Europe";"1917";"The Nobel Prize in Literature";"1917-11-08";"for his varied and rich poetry, which is inspired by lofty ideals";133823;3991689
"Karl Landsteiner";"male";"1868-06-14";"Vienna";"Austrian Empire";"Europe";"1930";"The Nobel Prize in Physiology or Medicine";NA;"for his discovery of human blood groups";172947;5158685
"Karl von Frisch";"male";"1886-11-20";"Vienna";"Austria";"Europe";"1973";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning organization and elicitation of individual and social behaviour patterns";510000;3392300
"Karl Ziegler";"male";"1898-11-26";"Helsa";"Germany";"Europe";"1963";"The Nobel Prize in Chemistry";NA;"for their discoveries in the field of the chemistry and technology of high polymers";265000;2890771
"Kary B. Mullis";"male";"1944-12-28";"Lenoir, NC";"USA";"North America";"1993";"The Nobel Prize in Chemistry";"1993-10-13";"for his invention of the polymerase chain reaction (PCR) method";6700000;9208279
"Kazuo Ishiguro";"male";"1954-11-08";"Nagasaki";"Japan";"Asia";"2017";"The Nobel Prize in Literature";"2017-10-05";"who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world";9000000;9342577
"Keffer Hartline";"male";"1903-12-22";"Bloomsburg, PA";"USA";"North America";"1967";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the primary physiological and chemical visual processes in the eye";320000;2895166
"Kenichi Fukui";"male";"1918-10-04";"Nara";"Japan";"Asia";"1981";"The Nobel Prize in Chemistry";"1981-10-19";"for their theories, developed independently, concerning the course of chemical reactions";1000000;2982813
"Kenneth G. Wilson";"male";"1936-06-08";"Waltham, MA";"USA";"North America";"1982";"The Nobel Prize in Physics";"1982-10-18";"for his theory for critical phenomena in connection with phase transitions";1150000;3158777
"Kenneth J. Arrow";"male";"1921-08-23";"New York, NY";"USA";"North America";"1972";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1972-10-25";"for their pioneering contributions to general economic equilibrium theory and welfare theory";480000;3406394
"Kenzaburo Oe";"male";"1935-01-31";"Uchiko";"Japan";"Asia";"1994";"The Nobel Prize in Literature";NA;"who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today";7000000;9417195
"Kim Dae-jung";"male";"1925-12-03";"Mokpo";"Korea";"Asia";"2000";"The Nobel Peace Prize";"2000-10-13";"for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular";9000000;11538617
"Kip S. Thorne";"male";"1940-06-01";"Logan, UT";"USA";"North America";"2017";"The Nobel Prize in Physics";"2017-10-03";"for decisive contributions to the LIGO detector and the observation of gravitational waves";9000000;9342577
"Klas Pontus Arnoldson";"male";"1844-10-27";"Gothenburg";"Sweden";"Europe";"1908";"The Nobel Peace Prize";"1908-12-10";"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors";139800;7212924
"Klaus Hasselmann";"male";"1931-10-25";"Hamburg";"Germany";"Europe";"2021";"The Nobel Prize in Physics";"2021-10-05";"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming";10000000;10000000
"Klaus von Klitzing";"male";"1943-06-28";"Schroda";"German-occupied Poland";"Europe";"1985";"The Nobel Prize in Physics";"1985-10-16";"for the discovery of the quantized Hall effect";1800000;3913667
"Knut Hamsun";"male";"1859-08-04";"Lom";"Norway";"Europe";"1920";"The Nobel Prize in Literature";NA;"for his monumental work, <I>Growth of the Soil</I>";134100;2438066
"Kofi Annan";"male";"1938-04-08";"Kumasi";"Gold Coast";"Africa";"2001";"The Nobel Peace Prize";"2001-10-12";"for their work for a better organized and more peaceful world";10000000;12518033
"Koichi Tanaka";"male";"1959-08-03";"Toyama City";"Japan";"Asia";"2002";"The Nobel Prize in Chemistry";"2002-10-09";"for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules";10000000;12252888
"Konrad Bloch";"male";"1912-01-21";"Neisse";"Germany";"Europe";"1964";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism";273000;2879320
"Konrad Lorenz";"male";"1903-11-07";"Vienna";"Austria";"Europe";"1973";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning organization and elicitation of individual and social behaviour patterns";510000;3392300
"Konstantin Novoselov";"male";"1974-08-23";"Nizhny Tagil";"Russia";"Europe";"2010";"The Nobel Prize in Physics";"2010-10-05";"for groundbreaking experiments regarding the two-dimensional material graphene";10000000;11015580
"Kurt Alder";"male";"1902-07-10";"Königshütte";"Prussia";"Europe";"1950";"The Nobel Prize in Chemistry";NA;"for their discovery and development of the diene synthesis";164304;3105508
"Kurt Wüthrich";"male";"1938-10-04";"Aarberg";"Switzerland";"Europe";"2002";"The Nobel Prize in Chemistry";"2002-10-09";"for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution";10000000;12252888
"Lars Onsager";"male";"1903-11-27";"Kristiania";"Norway";"Europe";"1968";"The Nobel Prize in Chemistry";NA;"for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes";350000;3107674
"Lars Peter Hansen";"male";"1952-10-26";"Urbana, IL";"USA";"North America";"2013";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2013-10-14";"for their empirical analysis of asset prices";8000000;8517568
"Lawrence Bragg";"male";"1890-03-31";"Adelaide";"Australia";"Oceania";"1915";"The Nobel Prize in Physics";"1915-11-12";"for their services in the analysis of crystal structure by means of X-rays";149223;6330371
"Lawrence R. Klein";"male";"1920-09-14";"Omaha, NE";"USA";"North America";"1980";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1980-10-15";"for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies";880000;2942067
"Le Duc Tho ";"male";"1911-10-14";"Nam Ha province";"Vietnam";"Asia";"1973";"The Nobel Peace Prize";"1973-10-17";"for jointly having negotiated a cease fire in Vietnam in 1973";510000;3392300
NA;NA;NA;NA;NA;NA;"1963";"The Nobel Peace Prize";"1963-10-10";"for promoting the principles of the Geneva Convention and cooperation with the UN";265000;2890771
"Lech Walesa";"male";"1943-09-29";"Popowo";"Poland";"Europe";"1983";"The Nobel Peace Prize";"1983-10-05";"for non-violent struggle for free trade unions and human rights in Poland";1500000;3782695
"Leland Hartwell";"male";"1939-10-30";"Los Angeles, CA";"USA";"North America";"2001";"The Nobel Prize in Physiology or Medicine";"2001-10-08";"for their discoveries of key regulators of the cell cycle";10000000;12518033
"Leo Esaki";"male";"1925-03-12";"Osaka";"Japan";"Asia";"1973";"The Nobel Prize in Physics";"1973-10-23";"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively";510000;3392300
"Léon Bourgeois";"male";"1851-05-21";"Paris";"France";"Europe";"1920";"The Nobel Peace Prize";"1920-12-10";"for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations";134100;2438066
"Léon Jouhaux";"male";"1879-07-01";"Paris";"France";"Europe";"1951";"The Nobel Peace Prize";NA;"for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations";167612;2734798
"Leon M. Lederman";"male";"1922-07-15";"New York, NY";"USA";"North America";"1988";"The Nobel Prize in Physics";"1988-10-19";"for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino";2500000;4729931
"Leon N. Cooper";"male";"1930-02-28";"New York, NY";"USA";"North America";"1972";"The Nobel Prize in Physics";NA;"for their jointly developed theory of superconductivity, usually called the BCS-theory";480000;3406394
"Leonid Hurwicz";"male";"1917-08-21";"Moscow";"Russia";"Europe";"2007";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2007-10-15";"for having laid the foundations of mechanism design theory";10000000;11506932
"Leonid Vitaliyevich Kantorovich";"male";"1912-01-19";"St. Petersburg";"Russian Empire";"Europe";"1975";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1975-10-14";"for their contributions to the theory of optimum allocation of resources";630000;3465908
"Leopold Ruzicka";"male";"1887-09-13";"Vukovar";"Austria-Hungary";"Europe";"1939";"The Nobel Prize in Chemistry";NA;"for his work on polymethylenes and higher terpenes";148822;4304564
"Lester Bowles Pearson";"male";"1897-04-23";"Toronto";"Canada";"North America";"1957";"The Nobel Peace Prize";"1957-10-03";"for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis";208629;2746709
"Lev Landau";"male";"1908-01-22";"Baku";"Russian Empire";"Asia";"1962";"The Nobel Prize in Physics";NA;"for his pioneering theories for condensed matter, especially liquid helium";257220;2888429
"Leymah Gbowee";"female";"1972-02-01";"Monrovia";"Liberia";"Africa";"2011";"The Nobel Peace Prize";"2011-10-07";"for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work";10000000;10736783
"Linda B. Buck";"female";"1947-01-29";"Seattle, WA";"USA";"North America";"2004";"The Nobel Prize in Physiology or Medicine";"2004-10-04";"for their discoveries of odorant receptors and the organization of the olfactory system";10000000;11976161
"Linus Pauling";"male";"1901-02-28";"Portland, OR";"USA";"North America";"1962";"The Nobel Peace Prize";"1963-10-10";"for his fight against the nuclear arms race between East and West";257220;2888429
"Linus Pauling";"male";"1901-02-28";"Portland, OR";"USA";"North America";"1954";"The Nobel Prize in Chemistry";NA;"for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances";181647;2688094
"Liu Xiaobo";"male";"1955-12-28";"Changchun";"China";"Asia";"2010";"The Nobel Peace Prize";"2010-10-08";"for his long and non-violent struggle for fundamental human rights in China";10000000;11015580
"Lloyd S. Shapley";"male";"1923-06-02";"Cambridge, MA";"USA";"North America";"2012";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2012-10-15";"for the theory of stable allocations and the practice of market design";8000000;8512821
"Lord Boyd Orr";"male";"1880-09-23";"Kilmaurs";"Scotland";"Europe";"1949";"The Nobel Peace Prize";"1949-10-12";"for his lifelong effort to conquer hunger and want, thereby helping to remove a major cause of military conflict and war";156290;2983576
"Lord Rayleigh";"male";"1842-11-12";"Langford Grove, Maldon, Essex";"United Kingdom";"Europe";"1904";"The Nobel Prize in Physics";NA;"for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies";140859;7908819
"Lord Todd";"male";"1907-10-02";"Glasgow";"Scotland";"Europe";"1957";"The Nobel Prize in Chemistry";NA;"for his work on nucleotides and nucleotide co-enzymes";208629;2746709
"Louis de Broglie";"male";"1892-08-15";"Dieppe";"France";"Europe";"1929";"The Nobel Prize in Physics";NA;"for his discovery of the wave nature of electrons";172760;4996952
"Louis J. Ignarro";"male";"1941-05-31";"Brooklyn, NY";"USA";"North America";"1998";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system";7600000;9889843
"Louis Néel";"male";"1904-11-22";"Lyon";"France";"Europe";"1970";"The Nobel Prize in Physics";"1970-10-27";"for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics";400000;3235593
"Louis Renault";"male";"1843-05-21";"Autun";"France";"Europe";"1907";"The Nobel Peace Prize";"1907-12-10";"for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences";138796;7161123
"Louise Glück";"female";"1943-04-22";"New York, NY";"USA";"North America";"2020";"The Nobel Prize in Literature";"2020-10-08";"for her unmistakable poetic voice that with austere beauty makes individual existence universal";10000000;10000000
"Luc Montagnier";"male";"1932-08-18";"Chabris";"France";"Europe";"2008";"The Nobel Prize in Physiology or Medicine";"2008-10-06";"for their discovery of human immunodeficiency virus";10000000;11124709
"Ludwig Quidde";"male";"1858-03-23";"Bremen";"Germany";"Europe";"1927";"The Nobel Peace Prize";"1927-12-10";"for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation";126501;3658946
"Luigi Pirandello";"male";"1867-06-28";"Agrigento, Sicily";"Italy";"Europe";"1934";"The Nobel Prize in Literature";NA;"for his bold and ingenious revival of dramatic and scenic art";162608;5261333
"Luis Alvarez";"male";"1911-06-13";"San Francisco, CA";"USA";"North America";"1968";"The Nobel Prize in Physics";NA;"for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis";350000;3107674
"Luis Leloir";"male";"1906-09-06";"Paris";"France";"Europe";"1970";"The Nobel Prize in Chemistry";"1970-10-27";"for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates";400000;3235593
"M. Stanley Whittingham";"male";"1941-12-22";NA;"United Kingdom";"Europe";"2019";"The Nobel Prize in Chemistry";"2019-10-09";"for the development of lithium-ion batteries";9000000;9000000
"Mairead Corrigan";"female";"1944-01-27";"Belfast";"Northern Ireland";"Europe";"1976";"The Nobel Peace Prize";"1977-10-10";"for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland";681000;3403217
"Makoto Kobayashi";"male";"1944-04-07";"Nagoya";"Japan";"Asia";"2008";"The Nobel Prize in Physics";"2008-10-07";"for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature";10000000;11124709
"Malala Yousafzai";"female";"1997-07-12";"Mingora";"Pakistan";"Asia";"2014";"The Nobel Peace Prize";"2014-10-10";"for their struggle against the suppression of children and young people and for the right of all children to education";8000000;8531844
"Manfred Eigen";"male";"1927-05-09";"Bochum";"Germany";"Europe";"1967";"The Nobel Prize in Chemistry";NA;"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy";320000;2895166
"Manne Siegbahn";"male";"1886-12-03";"Örebro";"Sweden";"Europe";"1924";"The Nobel Prize in Physics";NA;"for his discoveries and research in the field of X-ray spectroscopy";116719;3276714
"Maria Goeppert Mayer";"female";"1906-06-28";"Kattowitz";"Germany";"Europe";"1963";"The Nobel Prize in Physics";NA;"for their discoveries concerning nuclear shell structure";265000;2890771
"Maria Ressa";"female";"1963-10-02";"Manila";"Philippines";"Asia";"2021";"The Nobel Peace Prize";"2021-10-07";"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace";10000000;10000000
"Marie Curie";"female";"1867-11-07";"Warsaw";"Russian Empire";"Europe";"1903";"The Nobel Prize in Physics";NA;"in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel";141358;7936836
"Marie Curie";"female";"1867-11-07";"Warsaw";"Russian Empire";"Europe";"1911";"The Nobel Prize in Chemistry";NA;"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element";140695;7460743
"Mario J. Molina";"male";"1943-03-19";"Mexico City";"Mexico";"North America";"1995";"The Nobel Prize in Chemistry";"1995-10-11";"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone";7200000;9446598
"Mario R. Capecchi";"male";"1937-10-06";"Verona";"Italy";"Europe";"2007";"The Nobel Prize in Physiology or Medicine";"2007-10-08";"for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells";10000000;11506932
"Mario Vargas Llosa";"male";"1936-03-28";"Arequipa";"Peru";"South America";"2010";"The Nobel Prize in Literature";"2010-10-07";"for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat";10000000;11015580
"Marshall W. Nirenberg";"male";"1927-04-10";"New York, NY";"USA";"North America";"1968";"The Nobel Prize in Physiology or Medicine";NA;"for their interpretation of the genetic code and its function in protein synthesis";350000;3107674
"Martin Chalfie";"male";"1947-01-15";"Chicago, IL";"USA";"North America";"2008";"The Nobel Prize in Chemistry";"2008-10-08";"for the discovery and development of the green fluorescent protein, GFP";10000000;11124709
"Martin Karplus";"male";"1930-03-15";"Vienna";"Austria";"Europe";"2013";"The Nobel Prize in Chemistry";"2013-10-09";"for the development of multiscale models for complex chemical systems";8000000;8517568
"Martin L. Perl";"male";"1927-06-24";"New York, NY";"USA";"North America";"1995";"The Nobel Prize in Physics";"1995-10-11";"for the discovery of the tau lepton";7200000;9446598
"Martin Luther King Jr.";"male";"1929-01-15";"Atlanta, GA";"USA";"North America";"1964";"The Nobel Peace Prize";"1964-10-14";"for his non-violent struggle for civil rights for the Afro-American population";273000;2879320
"Martin Rodbell";"male";"1925-12-01";"Baltimore, MD";"USA";"North America";"1994";"The Nobel Prize in Physiology or Medicine";"1994-10-10";"for their discovery of G-proteins and the role of these proteins in signal transduction in cells";7000000;9417195
"Martin Ryle";"male";"1918-09-27";"Brighton";"United Kingdom";"Europe";"1974";"The Nobel Prize in Physics";"1974-10-15";"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars";550000;3322627
"Martinus J.G. Veltman";"male";"1931-06-27";"Waalwijk";"the Netherlands";"Europe";"1999";"The Nobel Prize in Physics";"1999-10-12";"for elucidating the quantum structure of electroweak interactions in physics";7900000;10231411
"Martti Ahtisaari";"male";"1937-06-23";"Viipuri";"Finland";"Europe";"2008";"The Nobel Peace Prize";"2008-10-10";"for his important efforts, on several continents and over more than three decades, to resolve international conflicts";10000000;11124709
"Masatoshi Koshiba";"male";"1926-09-19";"Toyohashi";"Japan";"Asia";"2002";"The Nobel Prize in Physics";"2002-10-08";"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos";10000000;12252888
"Maurice Allais";"male";"1911-05-31";"Paris";"France";"Europe";"1988";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1988-10-18";"for his pioneering contributions to the theory of markets and efficient utilization of resources";2500000;4729931
"Maurice Maeterlinck";"male";"1862-08-29";"Ghent";"Belgium";"Europe";"1911";"The Nobel Prize in Literature";NA;"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations";140695;7460743
"Maurice Wilkins";"male";"1916-12-15";"Pongaroa";"New Zealand";"Oceania";"1962";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material";257220;2888429
"Max Born";"male";"1882-12-11";"Breslau";"Germany";"Europe";"1954";"The Nobel Prize in Physics";NA;"for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction";181647;2688094
"Max Delbrück";"male";"1906-09-04";"Berlin";"Germany";"Europe";"1969";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the replication mechanism and the genetic structure of viruses";375000;3239253
"Max F. Perutz";"male";"1914-05-19";"Vienna";"Austria";"Europe";"1962";"The Nobel Prize in Chemistry";NA;"for their studies of the structures of globular proteins";257220;2888429
"Max Planck";"male";"1858-04-23";"Kiel";"Schleswig";"Europe";"1918";"The Nobel Prize in Physics";NA;"in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta";138198;2899121
"Max Theiler";"male";"1899-01-30";"Pretoria";"South Africa";"Africa";"1951";"The Nobel Prize in Physiology or Medicine";NA;"for his discoveries concerning yellow fever and how to combat it";167612;2734798
"Max von Laue";"male";"1879-10-09";"Pfaffendorf";"Germany";"Europe";"1914";"The Nobel Prize in Physics";"1915-11-11";"for his discovery of the diffraction of X-rays by crystals";146900;7190567
"May-Britt Moser";"female";"1963-01-04";"Fosnavåg";"Norway";"Europe";"2014";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries of cells that constitute a positioning system in the brain";8000000;8531844
NA;NA;NA;NA;NA;NA;"1999";"The Nobel Peace Prize";"1999-10-15";"in recognition of the organisation's pioneering humanitarian work on several continents";7900000;10231411
"Melvin Calvin";"male";"1911-04-08";"St. Paul, MN";"USA";"North America";"1961";"The Nobel Prize in Chemistry";NA;"for his research on the carbon dioxide assimilation in plants";250233;2930643
"Melvin Schwartz";"male";"1932-11-02";"New York, NY";"USA";"North America";"1988";"The Nobel Prize in Physics";"1988-10-19";"for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino";2500000;4729931
"Menachem Begin";"male";"1913-08-16";"Brest Litovsk";"Russian Empire";"Europe";"1978";"The Nobel Peace Prize";"1978-10-27";"for jointly having negotiated peace between Egypt and Israel in 1978";725000;2951013
"Merton H. Miller";"male";"1923-05-16";"Boston, MA";"USA";"North America";"1990";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1990-10-16";"for their pioneering work in the theory of financial economics";4000000;6443882
"Michael Houghton";"male";NA;NA;NA;NA;"2020";"The Nobel Prize in Physiology or Medicine";"2020-10-05";"for the discovery of Hepatitis C virus";10000000;10000000
"Michael Kremer";"male";"1964-11-12";"New York, NY";"USA";"North America";"2019";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2019-10-14";"for their experimental approach to alleviating global poverty";9000000;9000000
"Michael Levitt";"male";"1947-05-09";"Pretoria";"South Africa";"Africa";"2013";"The Nobel Prize in Chemistry";"2013-10-09";"for the development of multiscale models for complex chemical systems";8000000;8517568
"Michael Rosbash";"male";"1944-03-07";"Kansas City, MO";"USA";"North America";"2017";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries of molecular mechanisms controlling the circadian rhythm";9000000;9342577
"Michael S. Brown";"male";"1941-04-13";"New York, NY";"USA";"North America";"1985";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the regulation of cholesterol metabolism";1800000;3913667
"Michael Smith";"male";"1932-04-26";"Blackpool";"United Kingdom";"Europe";"1993";"The Nobel Prize in Chemistry";"1993-10-13";"for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies";6700000;9208279
"Michael W. Young";"male";"1949-03-28";"Miami, FL";"USA";"North America";"2017";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries of molecular mechanisms controlling the circadian rhythm";9000000;9342577
"Michel Mayor";"male";"1942-01-12";"Lausanne";"Switzerland";"Europe";"2019";"The Nobel Prize in Physics";"2019-10-08";"for the discovery of an exoplanet orbiting a solar-type star";9000000;9000000
"Miguel Angel Asturias";"male";"1899-10-19";"Guatemala City";"Guatemala";"North America";"1967";"The Nobel Prize in Literature";NA;"for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America";320000;2895166
"Mikhail Gorbachev";"male";"1931-03-02";"Privolnoye";"USSR";"Europe";"1990";"The Nobel Peace Prize";"1990-10-15";"for the leading role he played in the radical changes in East-West relations";4000000;6443882
"Mikhail Sholokhov";"male";"1905-05-24";"Veshenskaya";"Russia";"Europe";"1965";"The Nobel Prize in Literature";NA;"for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people";282000;2833358
"Milton Friedman";"male";"1912-07-31";"Brooklyn, NY";"USA";"North America";"1976";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1976-10-14";"for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy";681000;3403217
